hotelName,hotelInformationUrl,hotelMinCharge,telephoneNo,reviewAverage
ＣＬＡＳＳＩＮＮ　おもろまち駅前,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=147527,,098-884-1155,0
ホテルリゾネックス那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=147530,,098-862-7733,0
沖縄国際ユースホステル,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=148960,,098-857-0073,0
Ｍｒ．ｋｉｎｊｏ　ｉｎ　ｕｅｎｏｋｕｒａ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=149065,,098-867-6641,0
Ｍｒ．ＫＩＮＪＯ　Ｅｍｉｎｅｎｃｅ　ｉｎｎ　Ｍａｅｊｉｍａ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=149318,,098-943-9627,3
ＧＵＥＳＴＨＯＵＳＥ　ＫＡＬＡ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=151408,,098-927-5709,
ゲストハウスＫＡＩＮＡＮ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=153140,,098-836-4444,0
ビクトリアホテル,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=153305,,098-868-0701,5
ＫＡＲＩＹＵＳＨＩ　ＬＣＨ．　ＰＲＥＭＩＵＭ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=153318,,098-863-7900,0
Ｍｒ．ＫＩＮＪＯ　ｉｎ　ＫＵＭＥ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=153519,,098-917-6351,3.33
ＯＮＥ　ＳＴＹＬＥ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=153520,,098-951-0345,0
Ｍｒ．ＫＩＮＪＯ　ｉｎ　松山,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=158674,,098-917-2035,0
ＣＬＡＳＳＩＮＮ　与儀,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=158705,,098-996-4110,0
ＭａｘｉＡＬＰＡ　マキシーアルパ（マキシアルパ）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=160652,,098-917-0300,3.4
カプセルドミトリーオリオン,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=161147,,080-6096-0096,
Ｔｈｅ　ＬＡＮＡＩ　ＨＯＳＴＥＬ　ラナイ　ホステル,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=162823,,098-894-8960,1
カラテメイト琉球,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=165997,,098-917-2372,
イトミンＹＯＵホーム,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=166022,,098-886-8946,
わらゆんＳＯ　松武の古民家,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=166899,,080-3982-2071,
Ｖｉｌｌａ　Ｂｉａｎｃｏ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=167103,,075-746-3987,
Ｍｒ．ＫＩＮＪＯｉｎＡＳＡＴＯ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=167205,,098-943-6276,0
住みんちゅホテル前島,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=167340,,098-923-5555,
ｍａｒｕ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=167740,,098-917-2808,
ゲストハウスＹＵＴＡＫＡ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=167784,,098-975-5210,0
Ｏｋｉｎａｗａ　Ｇｕｅｓｔ　Ｈｏｕｓｅ　Ｃｈａｎｐｕｒｕ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=167996,,098-862-9287,
ＴＲＩＰ　ＳＰＯＴ　７７４,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=168642,,098-943-5191,4.5
前島ビル３Ａ／民泊【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=168954,,050-5444-6620,
ロベルト商事那覇前島ビル２Ｂ／民泊【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=168991,,050-5444-6620,
ロベルト商事那覇前島ビル２Ａ／民泊【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=168992,,050-5444-6620,
ロベルト商事那覇前島ビル２Ｃ／民泊【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=168993,,050-5444-6620,
松山葦原ビル２０１号室／民泊【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=168994,,050-5444-6620,
シャトーティーダ那覇【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=169699,,050-5444-6620,
メイスン倶楽部【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=170194,,050-5444-6620,
Ｋｕｍｏｊｉ　Ｈｏｕｓｅ【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=170376,,050-5444-6620,
Ｍ　ｈｏｍｅ【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=170377,,050-5444-6620,
Ｄｕｐｌｅｘ牧志,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=172028,,050-5435-2661,
松山Ｓｔａｙ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=172719,,098-851-4343,
Ｍｉｚｕ　Ｈｏｕｓｅ　壷川,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=173140,,098-996-2078,
Ｐｒｏｕｄ　Ｍａｋｉｓｈｉ【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=173419,,050-5444-6620,
Ｏｒｉｏｎ　Ｈｏｕｓｅ　ｉｎ　Ｎａｈａ【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=173525,,050-5444-6620,
Ｔｓｕｂｏｇａｗａ　４Ｆ【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=173694,,050-5444-6620,
Ｓｏｕｔｈｅｒｌｉｅｓ　Ｃｏｎｄｏｍｉｎｉｕｍ【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=173887,,050-5444-6620,
ブレオマンスリー波の上うみそら公園前／民泊【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=174457,,050-5444-6620,
Ｔｓｕｂｏｇａｗａ　３Ｆ【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=174571,,050-5444-6620,
２階建て１軒家（最寄駅徒歩８分）【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=174772,,050-5444-6620,
レジデンス松尾／民泊【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=175119,,050-5444-6620,
ライブリー久茂地／民泊【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=175131,,050-5444-6620,
ホテルトーマス牧志【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=175416,,050-5444-6620,
４ＬＤＫ　国際通り、牧志駅徒歩２分　駐車場二台無料デザイナーハウス【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=175667,,050-5444-6620,
Ｆｕｒｕｊｉｍａ　Ｈｏｕｓｅ【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=175681,,050-5444-6620,
Ｎｅｗ　ｏｐｅｎ＊＊ＲＮＴ＊＊　国際通り近く♪那覇中心エリア♪ファ【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=175760,,050-5444-6620,
Ｎｕｅｓｔｒａ　Ｃａｓａ　Ｋｕｍｏｊｉ【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=176178,,050-5444-6620,
Ｍｒ．ＫＩＮＪＯｉｎスマフルＳｋｙＨａｒｂｏｒ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=176604,,098-851-5316,4.29
Ａｎｅｌａ　Ｒｅｓｏｒｔ　沖縄国際通り,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=177597,,03-6822-3598,
ナムラ　アクシス,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=177617,,098-868-6935,
ホテルクオーレ国際通り那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=177720,,090-6862-7054,
ベイサイド泊（Ｂａｙｓｉｄｅ　ＴＯＭＡＲＩ）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=177800,,098-865-5489,
Ｍｒ．ＫＩＮＪＯｉｎＮＡＭＩＮＯＵＥ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=177933,,098-917-0516,3.33
ＭＩＥＢＡＳＨＩ　ＩＮＮ　国際通り,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=179070,,050-3555-6534,
Ｍｒ．ＫＩＮＪＯ　ｉｎ　Ｎａｈａｋｉｔａ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=179106,,098-894-8645,
Ｔｒｏｐｉｃａｌ　Ｉｎｎ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=179224,,080-3984-5344,
くくるハウス,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=179330,,0988757780,
古民家お宿　ななつぼし,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=179401,,090-1122-7250,
安里（Ａｓａｔｏ）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=179575,,070-4474-0102,
Ｍｒ．ＫＩＮＪＯ　ｉｎ　ＭＡＴＳＵＹＡＭＡＮＮＡ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=179873,,098-894-8506,3.4
Ｓｕｎｒｉｓｅ　Ｖｉｅｗ　那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=180777,,050-3138-6053,
ＩＮＦＩＮＩＴＹＲＥＳＯＲＴ樋川,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=180812,,070-5410-0773,
ＨＯＴＥＬ　ＯＭＯＲＯ５８,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181036,,080-9854-4473,5
ＳＴＡＹ　ＩＮ　ＳＵＭＵＫＡ　新都心,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181168,,098-865-5525,
Ｔ＆Ｋハウス,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181210,,050-5212-7664,
リヴェール辻,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181213,,050-5212-7664,
オアシスハウス,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181456,,050-5212-7664,
ホテルトーマス牧志,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181549,,070-1369-1334,
Ｌハウス那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181725,,090-6867-8230,
わらゆんＳＯ〜Ｐｏｒｔ　Ｃｉｔｙ　Ｍａｙ〜,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181762,,080-2359-0369,
コンドミニアムＨＡＲＵ　那覇県庁前,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181788,,050-3138-3457,
Ｋ　ｈｏｕｓｅ（沖縄那覇曙ハウス）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181877,,080-9649-2239,
ＨＯＬＩＤＡＹ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=182043,,050-3749-6060,
シャルマン　エスパス壺屋　ｂｙ　Ｃｏｌｄｉｏ　Ｐｒｅｍｉｕｍ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=182156,,070-4217-7059,2
アーバンコンドミニアム和風邸おもろまち駅前店,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=182314,,098-959-2303,
わらゆんＳｏ〜ヴィラ壺屋〜,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=182316,,080-3982-2071,
ホテルグランコンソルト那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=183095,,098-860-5577,
レジデンス花崎,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=183311,,098-869-2113,
ＨＯＴＥＬ　Ｙ’ＲＩＳＥ　ＴＯ　ＵＲＡＳＯＥ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=183683,,098-988-1952,
ＲＩＮＧＯテラス壺屋見晴らし抜群【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=171621,2229,050-5444-6620,
Ｇｌｏｒｙ　ｉｓｌａｎｄ　ｏｋｉｎａｗａ　ＳＯＢＥ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=184211,,098-996-5083,
ＪＱ　ｖｉｌｌａ　ｎａｈａ　ｎｉｓｈｉ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=184238,,075-200-9953,
Ｍ＇ｓリゾート若狭＠ＬｉＢ　ＰＬＵＳ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=184239,,075-200-9953,
民宿柏青荘,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=19329,1500,098-866-5757,
沖縄ホテル,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=8526,,098-884-3191,
沖縄県青年会館,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=19420,,098-864-1780,
ホテル大田,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=67151,,098-868-5151,
Ｈｏｓｔｅｌ　沖縄　リトルオアシス,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=76418,,098-862-3446,
民宿　はとば荘,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=137382,,098-868-2818,
ゲストハウス　しまかじ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=158829,,098-869-6067,
ＯＲＩＯＮ　ＤＩＶＥＲＳ　ＧＵＥＳＴ　ＨＯＵＳＥ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=167916,,098-988-3830,
Ｃａｐｓｕｌｅ　Ｈｏｔｅｌ　２ＮＤ　ＢＯＸ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=178576,,098-988-4222,
コスモス新都心,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=178643,,098-943-2840,
ＴＯＭＭＹ　ＣＯＮＤＯＭＩＮＩＵＭ　ＷＡＫＡＳＡ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=180305,,098-943-2600,
那覇クリスタルホテル,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=182596,,098-862-2111,
ホテル　トロピカーナ【大人専用１８禁・ハピホテ提携】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=163428,,098-862-7300,
